# id, image, x, y
65864, 2, 5643.8451,  5073.3791
65865, 2, 5220.2229,  3795.1535
65867, 2, 1898.7761,  2822.8374
65873, 2, 3127.5385,  6954.2672
65874, 2, 2343.3627,  1234.1938
65875, 2, 1530.0978,  7189.2068
65882, 2, 4677.5182,  6679.4549
65884, 2, 4813.6447,  2863.1025
65900, 2, 4005.4004,  4524.9829
65902, 2, 3684.0662,  3362.5661
65903, 2, 2669.2296,  7207.6178
65904, 2, 1661.2603,  4093.5042
65905, 2, 3788.3689,  7785.1651
65909, 2, 3720.9458,  5370.8799
65910, 2, 3068.0626,  4435.0526
65913, 2, 3236.7084,  3777.7901
65919, 2, 1080.9160,  3497.4813
65925, 2, 1103.1381,   772.5262
65927, 2, 2503.5745,  7810.8112
65930, 2, 3865.5781,  7307.2892
65932, 2, 1961.0454,  2225.6287
65936, 2,  805.6870,  6934.0746
65937, 2, 3729.3621,  1540.2821
65944, 2, 1135.8560,  5081.4318
65945, 2,  821.1768,  2768.7871
65946, 2, 5272.5337,  3258.1069
65953, 2, 1956.6479,  2808.3718
65959, 2, 1019.6934,  4504.4535
65962, 2, 2722.2696,  5129.6083
65972, 2, 1222.4905,  5102.2393
65977, 2, 3931.9500,  5171.4054
65980, 2,  793.5627,  5961.5565
65985, 2, 3733.9635,  5272.4639
65989, 2, 4899.2413,  2221.4651
65991, 2, 1349.6242,   785.9960
65993, 2, 5381.1139,  6306.9044
65999, 2, 1490.7216,  5268.3117
66000, 2, 2265.0763,  6329.9616
66007, 2, 3101.3439,  4111.7919
66017, 2, 2917.5211,  1754.6044
66020, 2, 3555.3272,  1425.1745
66023, 2, 4931.0539,  1835.3692
66026, 2, 4121.6003,  4664.4297
66033, 2,  731.6076,  3092.7995
66039, 2, 1172.7856,  3519.2323
66044, 2, 4878.4528,  7622.2481
66047, 2, 3157.1803,  3961.6325
66055, 2, 5792.6561,  5109.0329
66060, 2, 2200.8090,  3801.4130
66065, 2, 3554.2283,  7747.9221
66071, 2, 2978.2008,  4448.6171
66080, 2, 2760.7640,  3834.5297
66084, 2, 2589.2838,  4082.7492
66090, 2, 5392.3279,  2348.2140
66095, 2, 1806.1339,  5640.3206
66113, 2, 4434.7359,  3465.6915
66115, 2, 5567.7728,  5293.2434
66139, 2, 1635.7836,  6051.9780
66168, 2, 3093.1006,  2797.9940
66182, 2, 1974.0324, 11086.1485
66183, 2, 2780.6966,  9471.0973
66186, 2, 1058.7298,  6111.8317
66188, 2, 2945.2391,  7287.8655
66189, 2, 2413.1329, 10151.2245
66202, 2, 2911.3398,  9325.9330
66207, 2, 2147.5232,  9912.2485
66213, 2, 1322.7724,  3988.6842
66229, 2, 1749.6061,  6266.5997
66230, 2, 2406.5294, 10308.3642
66240, 2, 1152.0260,  9241.0042
66244, 2, 3391.6451,  8097.1024
