Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
30," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142524,0.714230,-0.000002,0.000043,0.000043,0.000075,0.000097,0.026541,0.000483,84.290228, ,0.208175,0.432062,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
31," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000260,0.714257,0.001022,0.000042,0.000042,0.000072,0.000093,0.024105,0.000438,85.894502, ,0.167010,0.292834,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
32," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143232,0.714216,0.000937,0.000042,0.000041,0.000069,0.000091,0.028157,0.000512,87.689365, ,0.200937,0.346611,15,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
33," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.285960,0.714181,0.000320,0.000041,0.000041,0.000067,0.000089,0.015697,0.000285,88.989031, ,0.111473,0.175623,16,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
34," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428718,0.714195,0.000336,0.000041,0.000040,0.000066,0.000088,0.013788,0.000251,89.791569, ,0.102195,0.198413,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
35," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856893,0.714250,0.000578,0.000042,0.000041,0.000069,0.000091,0.019297,0.000351,88.947238, ,0.138635,0.347218,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
36," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571555,0.714176,0.003609,0.000042,0.000040,0.000066,0.000088,0.026792,0.000487,89.817993, ,0.148442,0.292233,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
37," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714177,0.714198,0.002350,0.000042,0.000041,0.000067,0.000089,0.029908,0.000544,89.845413, ,0.159950,0.336809,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
38," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999781,0.714230,-0.000635,0.000043,0.000042,0.000071,0.000094,0.021695,0.000394,87.547343, ,0.165112,0.316897,17,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
39," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142632,0.714274,0.002362,0.000044,0.000043,0.000075,0.000097,0.025361,0.000461,86.179094, ,0.207147,0.340061,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
40," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143260,0.571359,0.000950,0.000041,0.000041,0.000068,0.000090,0.019621,0.000357,87.802187, ,0.146384,0.283905,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
41," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.285982,0.571342,0.000909,0.000041,0.000041,0.000066,0.000088,0.019083,0.000347,89.153454, ,0.130515,0.208625,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
42," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142483,0.571334,0.004023,0.000043,0.000043,0.000074,0.000096,0.038378,0.000698,84.635863, ,0.228456,0.465787,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
43," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428890,0.571334,0.001251,0.000041,0.000040,0.000065,0.000087,0.032159,0.000585,89.985872, ,0.229450,0.406680,11,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
44," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856853,0.571372,0.000678,0.000042,0.000041,0.000068,0.000090,0.018125,0.000330,89.111200, ,0.130121,0.317159,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
45," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000429,0.571361,0.003487,0.000042,0.000042,0.000071,0.000092,0.028740,0.000523,86.246276, ,0.196729,0.354608,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
46," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999818,0.571318,0.000984,0.000043,0.000042,0.000071,0.000093,0.020765,0.000378,87.949477, ,0.161803,0.417770,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
47," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714193,0.571328,0.002191,0.000042,0.000041,0.000066,0.000088,0.028719,0.000522,89.995196, ,0.174735,0.369498,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
48," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142644,0.571301,0.002108,0.000044,0.000043,0.000074,0.000096,0.023848,0.000434,86.574132, ,0.206081,0.353816,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
49," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571598,0.571295,0.003960,0.000041,0.000040,0.000065,0.000087,0.026502,0.000482,89.825005, ,0.166705,0.344869,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
50," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142362,0.428526,0.000582,0.000043,0.000043,0.000074,0.000096,0.038845,0.000706,84.346041, ,0.227469,0.510378,7,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
51," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000437,0.428559,0.000747,0.000042,0.000042,0.000071,0.000093,0.020451,0.000372,85.991715, ,0.165656,0.378608,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
52," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142597,0.428414,0.000408,0.000044,0.000044,0.000074,0.000096,0.028759,0.000523,86.490317, ,0.200794,0.329346,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
53," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999793,0.428419,0.000212,0.000043,0.000043,0.000071,0.000093,0.021241,0.000386,87.920423, ,0.153347,0.378888,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
54," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143344,0.428514,0.001907,0.000042,0.000041,0.000068,0.000090,0.022448,0.000408,87.415465, ,0.172219,0.303911,11,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
55," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.286011,0.428527,0.000325,0.000041,0.000041,0.000066,0.000088,0.013177,0.000240,88.722413, ,0.120452,0.180407,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
56," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428734,0.428567,0.000282,0.000041,0.000041,0.000065,0.000087,0.016524,0.000300,89.537272, ,0.135218,0.223351,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
57," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856941,0.428493,0.000048,0.000042,0.000042,0.000068,0.000090,0.023411,0.000426,88.923562, ,0.133263,0.289599,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
58," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714182,0.428472,0.001068,0.000042,0.000041,0.000066,0.000088,0.020241,0.000368,89.561987, ,0.155471,0.269911,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
59," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571574,0.428484,0.002770,0.000041,0.000041,0.000065,0.000087,0.026783,0.000487,89.903675, ,0.191166,0.388445,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
60," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142568,0.285664,-0.001011,0.000044,0.000044,0.000075,0.000097,0.028722,0.000522,85.974163, ,0.207512,0.417815,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
61," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142418,0.285684,0.000795,0.000043,0.000044,0.000075,0.000097,0.047269,0.000860,83.731794, ,0.249345,0.498988,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
62," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000444,0.285710,0.000477,0.000042,0.000043,0.000072,0.000094,0.026580,0.000483,85.383550, ,0.195723,0.425460,11,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
63," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999786,0.285632,-0.000522,0.000043,0.000043,0.000071,0.000094,0.018120,0.000329,87.450486, ,0.153337,0.318356,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
64," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143194,0.285810,0.000516,0.000042,0.000042,0.000069,0.000091,0.019103,0.000347,86.844909, ,0.145492,0.296588,13,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
65," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.285971,0.285782,-0.000165,0.000042,0.000041,0.000067,0.000089,0.014422,0.000262,88.026564, ,0.105083,0.201161,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
66," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856928,0.285710,-0.000396,0.000043,0.000042,0.000069,0.000091,0.020134,0.000366,88.472734, ,0.132065,0.320695,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
67," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428722,0.285831,0.000070,0.000042,0.000041,0.000066,0.000089,0.017519,0.000319,88.816342, ,0.121845,0.308040,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
68," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714080,0.285765,-0.000125,0.000042,0.000042,0.000067,0.000090,0.020600,0.000375,89.044935, ,0.133889,0.311358,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
