Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
28," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999772,0.857227,0.000013,0.001067,0.001067,0.001277,0.001977,0.020970,0.000381,86.899509, ,0.179283,0.308182,16,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
29," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142527,0.857254,-0.000864,0.001162,0.001162,0.001433,0.002180,0.025733,0.000468,85.270869, ,0.225428,0.362173,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
30," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142507,0.714207,-0.000005,0.001115,0.001115,0.001357,0.002081,0.027216,0.000495,84.307194, ,0.204214,0.416704,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
31," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000282,0.714240,0.001023,0.001016,0.001016,0.001191,0.001866,0.024213,0.000440,85.910650, ,0.165455,0.294143,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
32," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143255,0.714206,0.000942,0.000935,0.000935,0.001049,0.001687,0.028946,0.000526,87.699369, ,0.199868,0.348794,15,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
33," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.285981,0.714178,0.000328,0.000876,0.000876,0.000943,0.001557,0.015853,0.000288,88.996216, ,0.113686,0.178563,16,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
34," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428737,0.714199,0.000346,0.000846,0.000846,0.000885,0.001488,0.013212,0.000240,89.799813, ,0.100284,0.202727,19,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
35," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856895,0.714276,0.000589,0.000935,0.000935,0.001049,0.001688,0.018507,0.000337,88.956729, ,0.138940,0.338786,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
36," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571569,0.714187,0.003621,0.000846,0.000846,0.000885,0.001488,0.025697,0.000467,89.811603, ,0.141661,0.283573,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
37," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714186,0.714216,0.002362,0.000876,0.000876,0.000943,0.001557,0.029232,0.000532,89.858548, ,0.155914,0.332905,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
38," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999776,0.714264,-0.000627,0.001016,0.001016,0.001191,0.001866,0.019863,0.000361,87.559709, ,0.161743,0.306830,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
39," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142621,0.714315,0.002365,0.001115,0.001115,0.001357,0.002081,0.025193,0.000458,86.169361, ,0.202030,0.345951,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
40," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143280,0.571343,0.000956,0.000906,0.000906,0.000997,0.001624,0.020105,0.000366,87.809937, ,0.146626,0.297802,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
41," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.286001,0.571334,0.000917,0.000846,0.000846,0.000885,0.001488,0.019425,0.000353,89.161788, ,0.127291,0.212736,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
42," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142466,0.571303,0.004024,0.001091,0.001091,0.001317,0.002029,0.040191,0.000731,84.648570, ,0.227674,0.458203,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
43," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428906,0.571334,0.001260,0.000814,0.000814,0.000823,0.001415,0.030976,0.000563,89.996263, ,0.222476,0.394203,11,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
44," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856853,0.571396,0.000683,0.000906,0.000906,0.000997,0.001624,0.018161,0.000330,89.120024, ,0.134293,0.319010,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
45," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000449,0.571338,0.003491,0.000990,0.000990,0.001145,0.001808,0.029840,0.000543,86.252170, ,0.198437,0.372924,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
46," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999812,0.571350,0.000984,0.000990,0.000990,0.001146,0.001809,0.020213,0.000368,87.933258, ,0.161629,0.421700,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
47," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714199,0.571344,0.002198,0.000846,0.000846,0.000885,0.001488,0.027957,0.000508,89.993688, ,0.171923,0.363470,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
48," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142634,0.571340,0.002103,0.001091,0.001091,0.001318,0.002029,0.025237,0.000459,86.558050, ,0.201521,0.354032,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
49," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571609,0.571303,0.003968,0.000814,0.000814,0.000823,0.001415,0.025419,0.000462,89.835020, ,0.160445,0.333728,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
50," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142344,0.428488,0.000590,0.001091,0.001091,0.001317,0.002029,0.037266,0.000678,84.351674, ,0.225189,0.469443,7,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
51," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000456,0.428529,0.000755,0.000990,0.000990,0.001146,0.001808,0.020072,0.000365,86.000204, ,0.165572,0.389491,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
