# Mark points for DBAT camera calibration demo
# Format: image id, point id, x, y, sxy
 3,   79, 1326.9635,  401.6591, 0.1
 3,   85, 1525.3618,  399.6046, 0.1
 3,   95, 1722.1543,  398.3698, 0.1
 3,   48,  658.4188,  357.2211, 0.1
 3,   53,  844.5819,  351.1385, 0.1
 3,   66, 1034.4756,  345.2406, 0.1
 3,   76, 1226.9507,  340.2488, 0.1
 3,   87, 1420.1971,  335.8637, 0.1
 3,   97, 1612.3190,  335.2411, 0.1
 3,   52,  763.5109,  294.7242, 0.1
 3,   63,  946.5661,  288.3475, 0.1
 3,   74, 1132.6669,  282.5293, 0.1
 3,   86, 1320.3521,  277.7146, 0.1
 3,   96, 1507.8644,  276.2211, 0.1
 3,   60,  864.1179,  235.4604, 0.1
 3,   72, 1043.9519,  228.0984, 0.1
 3,   82, 1225.8913,  224.1621, 0.1
 3,   93, 1408.5308,  220.6584, 0.1
 3,   70,  960.4919,  178.3155, 0.1
 3, 1004, 1136.7921,  172.0244, 0.1
 3,   91, 1314.2073,  168.7311, 0.1
 3,   80, 1052.5788,  125.1771, 0.1
 3,   89, 1224.9400,  120.1542, 0.1
 3,   88, 1140.4682,   74.7817, 0.1
 4,   92, 1268.2429, 1678.9824, 0.1
 4,   71, 1030.3011, 1628.2141, 0.1
 4, 1003, 1196.1840, 1595.2398, 0.1
 4,   94, 1342.5843, 1564.2244, 0.1
 4,   61,  942.8675, 1533.0721, 0.1
 4,   73, 1118.7575, 1505.2398, 0.1
 4,   83, 1274.9148, 1479.1463, 0.1
 4,   95, 1412.7991, 1454.6409, 0.1
 4,   50,  849.1520, 1430.3699, 0.1
 4,   62, 1036.5917, 1408.5447, 0.1
 4,   75, 1203.1240, 1387.9702, 0.1
 4,   84, 1349.4233, 1368.3347, 0.1
 4,   97, 1479.9047, 1350.0327, 0.1
 4,   42,  751.5507, 1320.2978, 0.1
 4,   51,  948.8769, 1304.6765, 0.1
 4,   64, 1125.4224, 1290.0130, 0.1
 4,   77, 1282.0914, 1276.1775, 0.1
 4,   85, 1420.0127, 1262.7547, 0.1
 4,   96, 1542.9812, 1250.4112, 0.1
 4,   30,  643.2629, 1200.3937, 0.1
 4,   45,  857.2774, 1193.2448, 0.1
 4,   54, 1044.1603, 1185.4191, 0.1
 4,   65, 1208.9198, 1177.4595, 0.1
 4,   78, 1356.4604, 1169.8851, 0.1
 4,   87, 1487.7233, 1162.6470, 0.1
 4,   93, 1602.4274, 1155.5791, 0.1
 4,   55, 1131.9480, 1072.1637, 0.1
 4,   40,  955.7798, 1073.0581, 0.1
 4,   79, 1426.8044, 1069.2003, 0.1
 4,   67, 1288.0797, 1070.7530, 0.1
 4,   31,  756.4352, 1073.2430, 0.1
 4,   86, 1549.8304, 1067.4150, 0.1
 4,   91, 1658.1214, 1065.3652, 0.1
 4,   25,  531.7992, 1072.4820, 0.1
 4,   89, 1710.3271,  979.8810, 0.1
 4,   82, 1607.2739,  977.1622, 0.1
 4,   76, 1492.1705,  973.9818, 0.1
 4,   69, 1363.3527,  970.0564, 0.1
