# Image measurements for the Roma bundle demos in DBAT.
# Format: Image id, OP id, x, y
 1,31132,2269.9170,1662.1543
 1,  531,4238.3730,2669.9036
 1,  532,1898.5511,2497.4871
 1,28297,2319.1746,1638.6532
 1,32894,2246.3765,1619.7168
 1,  536,2356.4338, 641.0842
 1,  537,1887.0753,2483.2241
 1,  538,3968.6770, 521.3976
 1,  539,2013.8043,1884.0521
 1,  540,3252.7034,1140.7565
 1,34860,1942.2402,2568.1104
 1,  542,4039.4263,1302.3657
 1, 2242,3996.1387,1522.6921
 1,  544,3123.2754,1225.1884
 1,  545,4287.5229,1058.9310
 1,  546,4377.1733,1080.9351
 1,  547,1950.2039,2313.0405
 1,30007,2288.3750,1663.3053
 1,33338,3545.6646,2236.3555
 1,  552,4270.1685,2494.4243
 1,  553,3568.6123,1958.5905
 1,  554,4479.1445,1604.8740
 1,32683,3672.8062,1179.9811
 1,  556,4492.1167,1726.9951
 1,  557,2327.7646,1556.9640
 1,  558,2296.7183, 690.5837
 1,31152,3136.0549,1667.4475
 1,  560,4059.0513,1202.2877
 1,31052,2943.6682,1696.4006
 1,  562,3848.7275,1326.2642
 1,  563,4336.9795,1308.2313
 1,34808,3590.0854,2317.7402
 1,  565,1987.0625,1704.8453
 1,  566,4262.4517,2311.3855
 1,  567,4024.2834,1218.5024
 1,  568,3757.2283,2169.8853
 1,  569,1624.5803, 701.9709
 1,  570,3648.2759,2019.0220
 1,  571,4115.0820,1466.9136
 1,  572,3923.4912,1203.0928
 1,  573,1908.5531,2568.3516
 1,  574,2294.8633,1235.0764
 1,  575,4292.8213,2310.8232
 1,28777,2237.6807,1663.2524
 1,  577,3956.4641,1679.5481
 1,32659,3175.7859,1819.1527
 1,  579,2154.5625, 789.2751
 1,  580,4358.5889,1115.0425
 1,  581,3265.1885,1146.2506
 1,  582,3129.0229,1214.3979
 1,  583,3908.3179,1990.5706
 1,  584,3920.9006,1577.5422
 1,  585,1604.2743, 832.4430
 1,  586,3828.2617,2014.5225
 1,  587,3991.0168,1237.9969
 1,  588,3148.2932,1897.7922
 1,  589,4098.6431,1213.0562
 1,  590,2861.6438,1367.3593
 1,29350,2924.4570,1424.9192
 1,  592,2957.9995, 788.8593
 1,  593,2059.5317,1815.2002
 1,  594,4286.3276,1309.6785
 1,  595,2235.1780,1251.2133
 1,  596,2027.0261, 990.1056
 1,32155,3164.5005,2272.6758
 1,34792,3864.7573,1592.3160
 1,  599,3784.3347,1889.2485
 1,32738,3518.0405,1575.8898
 1,  601,4317.4351,1078.0183
 1,  602,2129.1987, 933.6008
 1,  603,4358.9893,1079.7751
 1,  604,1894.1924,1766.9509
 1,  605,4038.6670,1236.2854
 1,30189,2933.5493,1178.6760
 1,  607,3854.5771,1400.7667
 1,  608,2324.3540,1521.1177
 1,31511,2938.3621, 950.9279
 1,  610,4157.8315,1824.0078
 1,31947,3190.7568,1898.2986
 1,  612,4295.8096,1293.6396
 1,30785,3039.2578,1797.1044
 1,30170,2053.2490,1696.6680
 1,  615,3480.5757,1388.9758
 1,32766,2542.5056,1233.8424
 1,  617,3812.7749,1906.3423
 1,  618,3548.9390,1846.2843
 1,  619,2854.7148,1407.1746
 1,31191,2603.7632, 823.3953
 1,  622,3052.7441,1545.2139
 1,  623,2905.4507,1481.5227
 1,  624,3052.7097,1217.7000
 1,  625,3007.0464,1709.0380
 1,  626,3914.7573, 705.0012
 1,  627,2267.5859,1610.0593
 1,  628,3754.8491,1768.6255
 1,  629,3794.5933,1178.6494
 1,  630,1592.9436, 710.6674
 1,  631,2404.3362,1547.0405
 1,  632,4323.2690, 936.5036
 1,31447,2883.6458,1221.3529
 1,  634,4346.7065,2628.1104
 1,  635,3971.7483,1194.8768
 1,  636,4057.7754, 727.4205
 1,  637,2659.6731, 878.4972
 1, 2198,3421.8020,1243.4028
 1,  639,3741.2559,1614.3706
 1,  640,3978.6067,1992.1836
 1,31130,3193.4790,2397.4021
 1,  642,3504.0559,1525.4182
 1,30155,2153.5444,1722.0249
 1,  644,1541.8285,2313.3062
 1,  645,4164.1470,2063.9609
