Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
66071," ",999894.001141,112489.105946,139.354523,0.053502,0.052681,0.366845,"1,2,3,4",0.005171,0.194628,15.281242,0.877266,1.240738,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.374450,"1,2,3,4"
66080," ",999841.969247,112467.796123,138.760539,0.058029,0.051625,0.367712,"1,2,3,4",0.004911,0.184836,15.275989,1.080947,1.250725,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.375825,"1,2,3,4"
66095," ",1000001.540335,112395.229929,157.071446,0.051659,0.050197,0.281530,"1,2,3,5",0.006829,0.257013,26.089414,1.140368,1.768694,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.290598,"1,2,3,5"
66188," ",1000138.325394,112497.325063,138.047215,0.050585,0.052543,0.373435,"2,3,4,5",0.002767,0.104133,15.532189,0.948225,1.039582,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.380491,"2,3,4,5"
66207," ",1000366.937242,112439.057945,139.415189,0.064763,0.049967,0.375799,"2,3,4,5",0.008189,0.308219,15.631833,1.299325,1.845442,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.384598,"2,3,4,5"
66244," ",1000206.101507,112538.832894,138.832695,0.050841,0.056423,0.376112,"2,3,4,5",0.002132,0.080252,15.594985,0.506960,0.647850,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.383704,"2,3,4,5"
66274," ",1000328.899346,112358.819562,138.844850,0.059946,0.050075,0.374417,"2,3,4,5",0.005037,0.189580,15.606184,1.173375,1.462656,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.382478,"2,3,4,5"
66288," ",1000000.494420,112453.935813,140.593427,0.061427,0.050148,0.374955,"2,3,4,5",0.003093,0.116430,15.310408,1.014341,1.145493,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.383248,"2,3,4,5"
66290," ",999834.934339,112462.006032,141.576360,0.058830,0.051435,0.366738,"1,2,3,4",0.002957,0.111276,15.296511,0.635820,1.006342,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.374971,"1,2,3,4"
66300," ",1000281.364525,112532.630985,137.792601,0.055352,0.055921,0.377763,"2,3,4,5",0.005541,0.208560,15.627173,1.414013,1.879894,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.385871,"2,3,4,5"
66302," ",1000107.042890,112384.124244,138.388732,0.050302,0.049677,0.285463,"1,2,3,5",0.002765,0.104055,25.887898,0.648774,1.018376,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.294088,"1,2,3,5"
66321," ",1000285.525268,112529.243830,136.784611,0.055687,0.055589,0.378024,"2,3,4,5",0.004991,0.187860,15.625513,0.961692,1.565756,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.386126,"2,3,4,5"
66354," ",1000066.327125,112459.622779,141.729849,0.050079,0.050033,0.272356,"1,2,4,5",0.005810,0.218663,25.899185,0.983035,1.333563,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.281405,"1,2,4,5"
