Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
66207," ",1000366.938020,112439.057718,139.410362,0.064471,0.049743,0.374137,"2,3,4,5",0.008198,0.308560,15.630383,1.300995,1.847642,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.382896,"2,3,4,5"
66244," ",1000206.102673,112538.832970,138.828240,0.050612,0.056171,0.374448,"2,3,4,5",0.002130,0.080180,15.593555,0.507550,0.647537,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.382005,"2,3,4,5"
66274," ",1000328.899972,112358.819440,138.840344,0.059676,0.049850,0.372761,"2,3,4,5",0.005036,0.189545,15.604776,1.172981,1.462037,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.380784,"2,3,4,5"
66288," ",1000000.495268,112453.936292,140.588318,0.061154,0.049923,0.373297,"2,3,4,5",0.003084,0.116076,15.308984,1.011105,1.140817,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.381553,"2,3,4,5"
66290," ",999834.934979,112462.006720,141.576063,0.058568,0.051204,0.365087,"1,2,3,4",0.002972,0.111856,15.297139,0.637830,1.011515,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.373283,"1,2,3,4"
66300," ",1000281.365608,112532.630896,137.788049,0.055103,0.055670,0.376092,"2,3,4,5",0.005531,0.208160,15.625767,1.411603,1.876954,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.384163,"2,3,4,5"
66302," ",1000107.043865,112384.124567,138.385773,0.050075,0.049454,0.284187,"1,2,3,5",0.002756,0.103738,25.887448,0.648821,1.018430,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.292772,"1,2,3,5"
66321," ",1000285.526336,112529.243739,136.779978,0.055436,0.055340,0.376352,"2,3,4,5",0.004987,0.187701,15.624100,0.961152,1.565035,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.384417,"2,3,4,5"
66354," ",1000066.328283,112459.623156,141.726332,0.049854,0.049808,0.271139,"1,2,4,5",0.005826,0.219268,25.898764,0.985009,1.336513,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.280147,"1,2,4,5"
66410," ",1000199.015351,112498.349658,138.510154,0.050258,0.052412,0.371978,"2,3,4,5",0.002361,0.088870,15.600714,0.466041,0.609593,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.378999,"2,3,4,5"
66556," ",1000057.945112,112262.411978,139.306255,0.050111,0.050295,0.290805,"1,3,4,5",0.003007,0.113173,25.847255,0.645912,0.951550,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.299346,"1,3,4,5"
66624," ",1000121.907638,112404.427185,139.462091,0.050218,0.049533,0.290519,"1,3,4,5",0.004860,0.182914,25.894696,1.646543,1.794953,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.298959,"1,3,4,5"
66626," ",1000144.688102,112573.870776,137.283245,0.051794,0.053341,0.299356,"1,2,3,5",0.007458,0.280699,25.692387,1.226862,1.809927,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.308451,"1,2,3,5"
66872," ",1000072.305236,112144.356268,139.018011,0.050834,0.058585,0.298877,"1,3,4,5",0.007556,0.284379,25.698792,1.481206,1.894303,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.308778,"1,3,4,5"
65231," ",1000472.197198,112450.955386,138.329757,0.089283,0.064670,0.472308,"3,4,5",0.003387,0.127494,13.424879,1.114199,1.439764,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.485004,"3,4,5"
65235," ",1000276.049365,112514.443172,137.590972,0.059479,0.073265,0.470976,"3,4,5",0.001848,0.069565,13.455785,0.413796,0.579561,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.480337,"3,4,5"
65239," ",1000463.271805,112442.053933,136.696406,0.087482,0.063546,0.472537,"3,4,5",0.007707,0.290065,13.429262,1.448270,1.777982,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.484749,"3,4,5"
65246," ",1000355.194121,112430.551977,139.375102,0.102700,0.055886,0.554565,"2,3,4",0.006401,0.240930,13.492316,1.185620,1.487914,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.566757,"2,3,4"
65253," ",1000187.665869,112262.187323,139.817215,0.057179,0.058349,0.468381,"3,4,5",0.005381,0.202511,13.459106,1.327794,1.568886,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.475452,"3,4,5"
65257," ",1000167.550052,112515.981441,138.442990,0.077733,0.072031,0.448880,"1,3,4",0.006058,0.228025,14.498638,1.232581,1.714389,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.461220,"1,3,4"
65265," ",999590.677702,112346.332828,140.730308,0.164261,0.061905,0.567027,"2,3,4",0.000849,0.031950,13.165756,0.303271,0.406290,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.593577,"2,3,4"
65269," ",1000474.896293,112408.720167,136.378455,0.089758,0.060281,0.472419,"3,4,5",0.005706,0.214755,13.437302,1.229744,1.468948,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.484634,"3,4,5"
65276," ",1000479.360837,112187.939584,140.068226,0.091197,0.068834,0.480348,"3,4,5",0.001258,0.047339,13.490613,0.234026,0.297354,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.493750,"3,4,5"
65278," ",1000313.998373,112125.966511,138.697656,0.064123,0.078179,0.480905,"3,4,5",0.002842,0.106971,13.467023,0.711869,0.837629,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.491420,"3,4,5"
